SEQN,Gender,Age,Race,Citizenship,Edu_y,Edu_a,Language,HouseholdSize,Child_5,Child_17,Old,Income,IncPov
88358,Female,14,Non-Hispanic Black,US Citizen,High School,,English,3,0,1,0,"$ 100,000 +",5
88359,Female,17,Non-Hispanic Black,US Citizen,High School,,English,7,0,4,1,"$ 35,000 - 54,999",1.23
88360,Female,20,Mexican American,US Citizen,,High School,English,2,0,0,0,"$ 35,000 - 54,999",2.97
88361,Female,36,Other Race,US Citizen,,High School,English,3,0,2,0,"$ 10,000 - 19,999",0.94
88362,Female,6,Other Race,US Citizen,Never Attended/KG,,English,7,3,2,1,"$ 100,000 +",1.67
88363,Male,11,Non-Hispanic White,US Citizen,Primary School,,English,6,0,4,0,"$ 20,000 - 34,999",
88364,Male,8,Mexican American,US Citizen,Primary School,,English,6,1,1,0,"$ 55,000 - 74,999",2.15
88365,Male,36,Other Hispanic,US Citizen,,College/AA degree,English,1,0,0,0,"$ 0 - 9,999",0.42
88366,Female,42,Mexican American,Not a US Citizen,,Less than 9th Grade,Spanish,7,0,4,0,"$ 35,000 - 54,999",1.22
88367,Female,64,Non-Hispanic Black,US Citizen,,High School,English,1,0,0,1,"$ 10,000 - 19,999",1.58
88368,Female,51,Other Hispanic,US Citizen,,College Grad and above,English,3,0,0,0,"$ 10,000 - 19,999",0.5
88369,Female,73,Non-Hispanic White,US Citizen,,High School,English,3,0,1,1,"$ 20,000 - 34,999",1.19
88370,Male,34,Non-Hispanic White,US Citizen,,High School,English,1,0,0,0,"$ 10,000 - 19,999",0.93
88371,Female,4,Non-Hispanic White,US Citizen,,,English,3,1,0,0,"$ 20,000 - 34,999",
88372,Female,11,Non-Hispanic White,US Citizen,Primary School,,English,3,0,1,0,"$ 100,000 +",5
88373,Male,2,Other Race,US Citizen,,,English,4,1,1,0,"$ 75,000 - 99,999",3.3
88374,Female,0,Mexican American,US Citizen,,,English,2,1,0,0,"$ 10,000 - 19,999",0.69
88375,Male,25,Non-Hispanic White,US Citizen,,High School,English,4,0,1,0,"$ 35,000 - 54,999",2.16
88376,Female,71,Non-Hispanic White,US Citizen,,High School,English,1,0,0,1,"$ 100,000 +",5
88377,Female,30,Mexican American,US Citizen,,High School,English,6,0,2,0,"$ 100,000 +",4.61
88378,Male,2,Non-Hispanic White,US Citizen,,,English,5,2,1,0,"$ 55,000 - 74,999",2.22
88379,Male,8,Non-Hispanic Black,US Citizen,Primary School,,English,4,1,1,0,"$ 75,000 - 99,999",3.3
88380,Female,41,Other Hispanic,US Citizen,,College/AA degree,English,4,0,1,0,"$ 100,000 +",4.73
88381,Male,1,Non-Hispanic Black,US Citizen,,,English,4,3,0,0,"$ 10,000 - 19,999",0.7
88382,Female,14,Non-Hispanic Black,US Citizen,Middle School,,English,4,0,2,0,"$ 35,000 - 54,999",1.77
88383,Female,16,Mexican American,US Citizen,High School,,English,3,0,2,0,"$ 20,000 - 34,999",1.3
88384,Female,37,Non-Hispanic White,US Citizen,,College/AA degree,English,7,0,4,0,"$ 55,000 - 74,999",2
88385,Female,43,Non-Hispanic Asian,US Citizen,,College Grad and above,English,5,0,2,1,"$ 20,000 - 34,999",
88386,Female,38,Non-Hispanic Asian,Not a US Citizen,,College/AA degree,English,3,1,0,0,"$ 100,000 +",5
88387,Female,1,Other Hispanic,US Citizen,,,English,3,1,0,0,"$ 75,000 - 99,999",4.22
88388,Male,55,Non-Hispanic White,US Citizen,,College Grad and above,English,4,0,0,0,"$ 55,000 - 74,999",2.76
88389,Female,68,Non-Hispanic White,US Citizen,,College/AA degree,English,2,0,0,2,"$ 20,000 - 34,999",0.71
88390,Female,8,Mexican American,US Citizen,Primary School,,English,3,0,2,0,"$ 10,000 - 19,999",0.89
88391,Male,9,Non-Hispanic Black,US Citizen,Primary School,,English,7,2,3,0,"$ 20,000 - 34,999",0.54
88392,Female,42,Non-Hispanic Asian,US Citizen,,Less than 9th Grade,English,5,0,2,0,"$ 35,000 - 54,999",1.41
88393,Female,60,Other Hispanic,US Citizen,,College/AA degree,English,1,0,0,1,"$ 35,000 - 54,999",3.54
88394,Female,5,Mexican American,US Citizen,,,English,5,2,1,0,"$ 55,000 - 74,999",2.11
88395,Female,65,Non-Hispanic White,US Citizen,,College Grad and above,English,1,0,0,1,"$ 75,000 - 99,999",5
88396,Female,48,Other Hispanic,Not a US Citizen,,9th-11th,Spanish,5,0,2,1,"$ 35,000 - 54,999",1.23
88397,Female,12,Non-Hispanic Asian,US Citizen,Middle School,,English,5,1,2,0,"$ 35,000 - 54,999",1.41
88398,Male,76,Mexican American,Not a US Citizen,,Less than 9th Grade,Spanish,2,0,0,2,Don't Know,
88399,Male,34,Non-Hispanic Black,US Citizen,,High School,English,3,0,1,0,"$ 20,000 - 34,999",1.14
88400,Female,58,Non-Hispanic White,US Citizen,,College Grad and above,English,2,0,0,0,"$ 100,000 +",5
88401,Female,73,Other Hispanic,US Citizen,,College Grad and above,Spanish,1,0,0,1,"$ 0 - 9,999",0.76
88402,Female,47,Non-Hispanic Black,US Citizen,,College Grad and above,English,5,1,2,0,"$ 55,000 - 74,999",2.29
88403,Male,12,Non-Hispanic Asian,US Citizen,Middle School,,English,4,0,2,0,"$ 55,000 - 74,999",2.67
88404,Male,70,Non-Hispanic White,US Citizen,,College/AA degree,English,2,0,0,1,"$ 35,000 - 54,999",2.2
88405,Male,3,Non-Hispanic Asian,US Citizen,,,English,4,2,0,0,"$ 100,000 +",4.53
88406,Male,80,Non-Hispanic White,US Citizen,,College Grad and above,English,1,0,0,1,"$ 35,000 - 54,999",4.25
88407,Female,44,Non-Hispanic Asian,Not a US Citizen,,College Grad and above,English,4,0,2,0,"$ 75,000 - 99,999",3.55
88408,Female,1,Other Hispanic,US Citizen,,,English,3,1,0,1,"$ 35,000 - 54,999",2.39
88409,Female,1,Other Race,US Citizen,,,English,7,3,2,1,"$ 100,000 +",1.67
88410,Male,19,Non-Hispanic White,US Citizen,High School,,English,2,0,0,0,"$ 35,000 - 54,999",2.2
88411,Male,22,Non-Hispanic White,US Citizen,,High School,English,2,0,0,0,"$ 0 - 9,999",0.47
88412,Female,34,Non-Hispanic Black,US Citizen,,College/AA degree,English,5,1,1,0,"$ 55,000 - 74,999",2.19
88413,Male,62,Other Hispanic,Not a US Citizen,,Less than 9th Grade,Spanish,3,0,0,3,"$ 10,000 - 19,999",0.85
88414,Female,25,Non-Hispanic White,US Citizen,,College/AA degree,English,2,0,0,0,"$ 35,000 - 54,999",0.51
88415,Male,2,Non-Hispanic White,US Citizen,,,English,4,2,0,0,"$ 100,000 +",4.53
88416,Male,6,Other Hispanic,US Citizen,Never Attended/KG,,English,4,1,1,0,"$ 35,000 - 54,999",2.24
88417,Male,59,Non-Hispanic Asian,US Citizen,,College Grad and above,English,1,0,0,0,"$ 35,000 - 54,999",3.23
88418,Female,77,Non-Hispanic White,US Citizen,,High School,English,3,0,0,2,"$ 20,000 - 34,999",
88419,Male,3,Non-Hispanic Black,US Citizen,,,English,6,1,3,0,"$ 10,000 - 19,999",0.58
88420,Male,15,Non-Hispanic Black,US Citizen,High School,,English,4,0,1,0,"$ 20,000 - 34,999",1.24
88421,Female,80,Other Hispanic,US Citizen,,Less than 9th Grade,English,1,0,0,1,,
88422,Male,62,Other Hispanic,US Citizen,,College/AA degree,English,1,0,0,1,"$ 20,000 - 34,999",1.94
88423,Female,8,Mexican American,US Citizen,Primary School,,English,6,2,2,0,"$ 35,000 - 54,999",1.23
88424,Female,0,Other Race,US Citizen,,,English,3,2,0,0,"$ 0 - 9,999",0.03
88425,Male,45,Non-Hispanic White,US Citizen,,High School,English,4,0,1,1,"$ 100,000 +",4.94
88426,Male,66,Other Hispanic,US Citizen,,College Grad and above,English,2,0,0,1,"$ 100,000 +",5
88427,Male,30,Mexican American,Not a US Citizen,,9th-11th,Spanish,5,2,1,0,"$ 55,000 - 74,999",2.11
88428,Male,47,Non-Hispanic White,US Citizen,,9th-11th,English,6,0,4,0,"$ 35,000 - 54,999",1.54
88429,Male,51,Other Hispanic,US Citizen,,College/AA degree,English,5,0,3,0,"$ 75,000 - 99,999",3.16
88430,Male,63,Other Hispanic,US Citizen,,College/AA degree,Spanish,1,0,0,1,"$ 55,000 - 74,999",5
88431,Female,64,Other Hispanic,US Citizen,,College/AA degree,Spanish,3,0,0,1,"$ 75,000 - 99,999",4.78
88432,Male,33,Non-Hispanic Asian,Not a US Citizen,,College Grad and above,English,2,0,0,0,"$ 75,000 - 99,999",5
88433,Female,22,Non-Hispanic White,US Citizen,,High School,English,4,0,1,0,"$ 100,000 +",4.54
88434,Female,80,Non-Hispanic White,US Citizen,,College/AA degree,English,2,0,0,2,"$ 35,000 - 54,999",3.39
88435,Male,10,Non-Hispanic White,Not a US Citizen,Primary School,,English,5,0,3,0,"$ 0 - 9,999",5.40E-79
88436,Female,80,Non-Hispanic White,US Citizen,,9th-11th,English,1,0,0,1,"$ 10,000 - 19,999",1.64
88437,Female,10,Other Hispanic,US Citizen,Primary School,,English,4,0,2,0,"$ 20,000 - 34,999",1.24
88438,Male,61,Non-Hispanic White,US Citizen,,College Grad and above,English,2,0,0,2,"$ 100,000 +",5
88439,Female,47,Non-Hispanic White,US Citizen,,College Grad and above,English,2,0,0,0,"$ 100,000 +",5
88440,Female,39,Non-Hispanic White,US Citizen,,High School,English,5,0,2,0,"$ 75,000 - 99,999",2.82
88441,Male,76,Mexican American,US Citizen,,Less than 9th Grade,Spanish,2,0,0,1,"$ 55,000 - 74,999",3.77
88442,Female,8,Mexican American,US Citizen,Primary School,,Spanish,3,0,2,0,"$ 20,000 - 34,999",1.19
88443,Female,2,Non-Hispanic Black,US Citizen,,,English,3,1,1,0,"$ 10,000 - 19,999",0.77
88444,Female,17,Non-Hispanic Asian,US Citizen,High School,,English,4,0,2,0,"$ 100,000 +",5
88445,Female,31,Non-Hispanic White,US Citizen,,College Grad and above,English,1,0,0,0,"$ 35,000 - 54,999",4.04
88446,Male,0,Non-Hispanic White,US Citizen,,,English,5,3,0,0,"$ 100,000 +",4.22
88447,Male,1,Mexican American,US Citizen,,,English,4,1,1,0,"$ 75,000 - 99,999",3.91
88448,Female,80,Non-Hispanic White,US Citizen,,9th-11th,English,2,0,0,2,"$ 20,000 - 34,999",1.85
88449,Male,14,Non-Hispanic Black,US Citizen,Middle School,,English,6,0,4,1,"$ 20,000 - 34,999",0.77
88450,Male,49,Non-Hispanic Asian,Not a US Citizen,,High School,English,4,0,0,0,"$ 35,000 - 54,999",2.06
88451,Female,34,Mexican American,Not a US Citizen,,Less than 9th Grade,Spanish,6,1,3,0,"$ 20,000 - 34,999",0.68
88452,Female,12,Mexican American,US Citizen,Middle School,,English,4,0,2,0,"$ 55,000 - 74,999",2.68
88453,Female,59,Mexican American,US Citizen,,College/AA degree,Spanish,7,3,2,0,"$ 35,000 - 54,999",0.9
88454,Male,14,Mexican American,US Citizen,Middle School,,English,4,0,1,0,"$ 75,000 - 99,999",3.7
88455,Male,58,Non-Hispanic Black,Not a US Citizen,,College Grad and above,English,2,0,0,0,"$ 35,000 - 54,999",3.18
88456,Female,2,Non-Hispanic Black,US Citizen,,,English,3,2,0,0,"$ 0 - 9,999",5.40E-79
88457,Female,17,Non-Hispanic White,US Citizen,High School,,English,3,0,1,0,"$ 100,000 +",5
88458,Female,6,Mexican American,US Citizen,Never Attended/KG,,English,4,1,1,0,"$ 35,000 - 54,999",2.1
88459,Male,38,Mexican American,Not a US Citizen,,Less than 9th Grade,Spanish,5,0,3,0,"$ 35,000 - 54,999",1.23
88460,Female,46,Non-Hispanic White,US Citizen,,High School,English,4,0,1,0,"$ 100,000 +",4.54
88461,Male,27,Non-Hispanic Asian,Not a US Citizen,,College Grad and above,English,3,0,0,0,"$ 20,000 - 34,999",2.1
88462,Female,51,Mexican American,Not a US Citizen,,9th-11th,Spanish,5,0,2,0,"$ 10,000 - 19,999",0.49
88463,Male,13,Non-Hispanic White,US Citizen,Middle School,,English,7,1,4,0,"$ 20,000 - 34,999",0.69
88464,Male,38,Non-Hispanic Black,US Citizen,,College Grad and above,English,1,0,0,0,"$ 100,000 +",5
88465,Female,3,Other Hispanic,US Citizen,,,English,6,1,3,0,"$ 100,000 +",3.13
88466,Male,5,Non-Hispanic Black,US Citizen,,,English,7,3,2,0,"$ 20,000 - 34,999",0.68
88467,Female,10,Other Hispanic,US Citizen,Primary School,,Spanish,5,1,2,0,"$ 20,000 - 34,999",0.77
88468,Male,77,Non-Hispanic White,US Citizen,,College Grad and above,English,6,0,2,2,"$ 10,000 - 19,999",0.43
88469,Male,33,Non-Hispanic Black,US Citizen,,College/AA degree,English,3,0,0,0,"$ 75,000 - 99,999",4.46
88470,Female,11,Mexican American,US Citizen,Primary School,,English,3,0,2,0,"$ 100,000 +",5
88471,Female,10,Non-Hispanic Asian,US Citizen,Primary School,,English,6,0,2,0,"$ 75,000 - 99,999",2.99
88472,Female,27,Mexican American,US Citizen,,College/AA degree,English,5,3,0,0,"$ 20,000 - 34,999",1.16
88473,Female,13,Other Hispanic,US Citizen,Middle School,,Spanish,3,0,1,0,"$ 20,000 - 34,999",1.49
88474,Male,2,Other Hispanic,US Citizen,,,English,5,1,2,0,"$ 10,000 - 19,999",0.67
88475,Male,18,Non-Hispanic Black,US Citizen,High School,,English,6,0,1,0,,
88476,Female,35,Non-Hispanic White,US Citizen,,Less than 9th Grade,English,6,1,3,0,"$ 100,000 +",5
88477,Male,47,Mexican American,US Citizen,,College/AA degree,Spanish,6,0,3,0,"$ 75,000 - 99,999",2.33
88478,Male,4,Non-Hispanic Asian,US Citizen,,,English,7,2,4,2,"$ 75,000 - 99,999",1.03
88479,Female,80,Non-Hispanic White,US Citizen,,9th-11th,English,1,0,0,1,"$ 10,000 - 19,999",1.18
88480,Female,22,Other Race,US Citizen,,College/AA degree,English,2,0,0,0,"$ 10,000 - 19,999",1.15
88481,Female,58,Non-Hispanic White,US Citizen,,College Grad and above,English,2,0,0,0,"$ 100,000 +",5
88482,Female,72,Non-Hispanic Black,US Citizen,,9th-11th,English,6,0,0,3,"$ 75,000 - 99,999",2.61
88483,Female,78,Non-Hispanic Asian,US Citizen,,Less than 9th Grade,English,5,1,1,1,Don't Know,
88484,Male,0,Non-Hispanic Black,US Citizen,,,English,5,2,1,0,"$ 20,000 - 34,999",0.71
88485,Female,40,Mexican American,Not a US Citizen,,Less than 9th Grade,Spanish,6,0,4,0,"$ 20,000 - 34,999",
88486,Male,15,Other Hispanic,US Citizen,Middle School,,English,7,1,4,0,"$ 55,000 - 74,999",1.47
88487,Female,50,Non-Hispanic Asian,US Citizen,,College Grad and above,English,3,0,1,1,"$ 100,000 +",4.98
88488,Female,66,Other Hispanic,Not a US Citizen,,Less than 9th Grade,Spanish,2,0,0,2,"$ 20,000 - 34,999",1.26
88489,Female,22,Non-Hispanic Asian,Not a US Citizen,,College/AA degree,English,2,0,0,0,"$ 100,000 +",5
88490,Female,16,Non-Hispanic White,US Citizen,High School,,English,4,0,2,0,"$ 75,000 - 99,999",3.7
88491,Female,7,Non-Hispanic Asian,US Citizen,Primary School,,English,5,0,3,0,"$ 55,000 - 74,999",2.46
88492,Male,6,Mexican American,US Citizen,Never Attended/KG,,English,6,0,2,0,"$ 100,000 +",4.61
88493,Female,15,Non-Hispanic Black,US Citizen,High School,,English,3,0,2,0,"$ 20,000 - 34,999",1.49
88494,Male,0,Non-Hispanic White,US Citizen,,,English,6,2,0,2,"$ 35,000 - 54,999",1.29
88495,Female,15,Mexican American,US Citizen,Middle School,,Spanish,6,0,4,0,"$ 35,000 - 54,999",1.23
88496,Female,37,Non-Hispanic White,US Citizen,,College/AA degree,English,5,0,3,0,"$ 35,000 - 54,999",1.83
88497,Female,42,Non-Hispanic White,US Citizen,,College/AA degree,English,4,0,2,0,"$ 35,000 - 54,999",1.44
88498,Male,14,Mexican American,US Citizen,Middle School,,Spanish,7,0,4,0,"$ 20,000 - 34,999",0.69
88499,Male,4,Non-Hispanic White,US Citizen,,,English,5,1,1,0,"$ 100,000 +",4.22
88500,Female,14,Other Race,US Citizen,Middle School,,English,3,0,2,0,,
88501,Male,31,Other Hispanic,US Citizen,,College/AA degree,English,5,1,1,1,"$ 35,000 - 54,999",1.58
88502,Female,6,Non-Hispanic Asian,US Citizen,Primary School,,English,4,1,1,0,"$ 35,000 - 54,999",1.73
88503,Female,48,Non-Hispanic Black,US Citizen,,9th-11th,English,4,0,0,1,"$ 20,000 - 34,999",1.23
88504,Female,22,Non-Hispanic White,US Citizen,,9th-11th,English,4,2,0,0,"$ 10,000 - 19,999",0.66
88505,Male,3,Non-Hispanic Asian,US Citizen,,,English,4,1,0,1,"$ 55,000 - 74,999",2.47
88506,Male,3,Mexican American,US Citizen,,,English,4,2,0,0,"$ 75,000 - 99,999",3.91
88507,Female,32,Other Hispanic,Not a US Citizen,,Less than 9th Grade,Spanish,5,0,3,0,"$ 0 - 9,999",0.28
88508,Female,16,Non-Hispanic Black,US Citizen,High School,,English,3,0,2,0,"$ 100,000 +",5
88509,Male,32,Mexican American,Not a US Citizen,,Less than 9th Grade,Spanish,7,3,3,0,"$ 35,000 - 54,999",0.81
88510,Female,6,Non-Hispanic White,US Citizen,Never Attended/KG,,English,4,1,1,0,"$ 20,000 - 34,999",1.32
88511,Female,8,Other Hispanic,US Citizen,Primary School,,English,5,0,3,0,"$ 55,000 - 74,999",1.94
88512,Male,11,Other Hispanic,US Citizen,Primary School,,English,4,0,2,0,"$ 55,000 - 74,999",2.47
88513,Female,80,Non-Hispanic White,US Citizen,,High School,English,1,0,0,1,"$ 10,000 - 19,999",
88514,Female,62,Non-Hispanic White,US Citizen,,High School,English,2,0,0,2,"$ 20,000 - 34,999",1.82
88515,Male,54,Non-Hispanic White,US Citizen,,High School,English,2,0,0,0,"$ 75,000 - 99,999",5
88516,Male,71,Non-Hispanic Asian,US Citizen,,College Grad and above,English,2,0,0,2,"$ 55,000 - 74,999",4.37
88517,Female,6,Other Hispanic,US Citizen,Never Attended/KG,,English,7,1,4,1,"$ 100,000 +",2.55
88518,Female,56,Mexican American,Not a US Citizen,,High School,Spanish,4,0,1,0,"$ 10,000 - 19,999",0.49
88519,Female,3,Non-Hispanic Black,Not a US Citizen,,,English,3,1,0,0,"$ 10,000 - 19,999",0.74
88520,Male,7,Other Race,US Citizen,Primary School,,English,4,1,1,0,"$ 75,000 - 99,999",3.7
88521,Female,19,Other Hispanic,Not a US Citizen,High School,,English,5,1,1,0,"$ 35,000 - 54,999",1.48
88522,Female,11,Non-Hispanic White,US Citizen,Primary School,,English,7,0,4,0,"$ 100,000 +",4.63
88523,Male,0,Non-Hispanic White,US Citizen,,,English,4,2,0,0,"$ 75,000 - 99,999",3.09
88524,Male,24,Other Race,US Citizen,,College/AA degree,English,5,0,1,0,"$ 35,000 - 54,999",1.11
88525,Male,33,Non-Hispanic Black,US Citizen,,9th-11th,English,6,1,0,1,"$ 55,000 - 74,999",2.21
88526,Female,68,Other Race,US Citizen,,College Grad and above,English,2,0,0,1,"$ 20,000 - 34,999",1.7
88527,Female,80,Non-Hispanic White,US Citizen,,High School,English,1,0,0,1,"$ 10,000 - 19,999",1.36
88528,Female,30,Non-Hispanic Black,US Citizen,,College/AA degree,English,4,0,2,0,,
88529,Female,35,Other Hispanic,US Citizen,,High School,English,6,0,4,0,"$ 20,000 - 34,999",0.61
88530,Female,49,Non-Hispanic White,US Citizen,,High School,English,2,0,0,0,"$ 55,000 - 74,999",3.89
88531,Female,40,Non-Hispanic Black,US Citizen,,High School,English,5,1,1,0,"$ 10,000 - 19,999",0.69
88532,Male,3,Non-Hispanic Black,US Citizen,,,English,4,1,1,0,"$ 75,000 - 99,999",4.02
88533,Female,34,Non-Hispanic Asian,US Citizen,,College/AA degree,English,4,0,2,0,"$ 75,000 - 99,999",3.95
88534,Male,9,Non-Hispanic White,Not a US Citizen,Primary School,,English,5,0,3,0,"$ 0 - 9,999",5.40E-79
88535,Female,13,Mexican American,US Citizen,Primary School,,Spanish,6,1,1,1,"$ 35,000 - 54,999",1.47
88536,Female,35,Non-Hispanic Black,US Citizen,,College/AA degree,English,4,0,2,0,"$ 20,000 - 34,999",1.01
88537,Male,45,Non-Hispanic Black,US Citizen,,9th-11th,English,2,0,0,0,"$ 35,000 - 54,999",3.12
88538,Female,66,Mexican American,US Citizen,,College/AA degree,English,2,0,0,2,"$ 35,000 - 54,999",2.64
88539,Male,16,Non-Hispanic Black,US Citizen,High School,,English,7,2,4,0,"$ 0 - 9,999",0.07
88540,Female,22,Non-Hispanic White,US Citizen,,9th-11th,English,5,2,0,2,"$ 10,000 - 19,999",0.53
88541,Female,16,Non-Hispanic White,US Citizen,High School,,English,3,0,1,0,"$ 35,000 - 54,999",2.37
88542,Female,28,Non-Hispanic Black,US Citizen,,College Grad and above,English,3,1,0,0,"$ 75,000 - 99,999",3.98
88543,Male,22,Non-Hispanic Black,US Citizen,,High School,English,3,0,0,0,"$ 10,000 - 19,999",0.87
88544,Male,67,Non-Hispanic White,US Citizen,,High School,English,1,0,0,1,"$ 20,000 - 34,999",2.09
88545,Male,46,Non-Hispanic Black,US Citizen,,High School,English,2,0,0,0,"$ 20,000 - 34,999",1.79
88546,Male,9,Mexican American,US Citizen,Primary School,,English,7,3,2,0,"$ 55,000 - 74,999",1.63
88547,Male,26,Other Race,US Citizen,,9th-11th,English,4,2,0,0,"$ 20,000 - 34,999",1.15
88548,Male,0,Non-Hispanic White,US Citizen,,,English,4,1,1,0,"$ 35,000 - 54,999",1.72
88549,Male,46,Non-Hispanic White,US Citizen,,College Grad and above,English,2,0,0,1,"$ 20,000 - 34,999",1.54
88550,Female,11,Non-Hispanic Black,US Citizen,Primary School,,English,4,1,2,0,"$ 0 - 9,999",0.33
88551,Male,52,Other Hispanic,Not a US Citizen,,Less than 9th Grade,Spanish,5,1,2,0,"$ 20,000 - 34,999",0.7
88552,Female,42,Non-Hispanic Asian,US Citizen,,College Grad and above,English,5,0,3,0,"$ 100,000 +",5
88553,Female,29,Non-Hispanic Black,US Citizen,,College/AA degree,English,3,0,0,1,"$ 100,000 +",5
88554,Male,7,Mexican American,US Citizen,Primary School,,Spanish,6,0,3,0,"$ 20,000 - 34,999",0.8
88555,Male,4,Mexican American,US Citizen,,,Spanish,7,3,3,0,"$ 35,000 - 54,999",0.81
88556,Male,80,Non-Hispanic White,US Citizen,,College Grad and above,English,2,0,0,2,"$ 75,000 - 99,999",4.71
88557,Male,10,Non-Hispanic White,US Citizen,Primary School,,English,4,0,2,0,"$ 35,000 - 54,999",2.14
88558,Female,3,Non-Hispanic White,US Citizen,,,English,5,1,2,0,"$ 75,000 - 99,999",3.23
88559,Male,43,Non-Hispanic Black,US Citizen,,College/AA degree,English,2,0,0,0,"$ 100,000 +",5
88560,Male,6,Non-Hispanic White,US Citizen,Never Attended/KG,,English,3,1,1,0,"$ 20,000 - 34,999",1.05
88561,Male,45,Non-Hispanic White,US Citizen,,9th-11th,English,2,0,0,0,"$ 10,000 - 19,999",0.87
88562,Female,44,Non-Hispanic Black,Not a US Citizen,,College/AA degree,English,4,1,1,0,"$ 100,000 +",4.32
88563,Male,13,Non-Hispanic Black,US Citizen,Middle School,,English,5,1,3,0,"$ 55,000 - 74,999",1.94
88564,Male,9,Non-Hispanic White,US Citizen,Primary School,,English,4,0,2,0,"$ 55,000 - 74,999",2.98
88565,Female,46,Non-Hispanic White,US Citizen,,College/AA degree,English,5,0,2,0,"$ 20,000 - 34,999",1.09
88566,Female,60,Non-Hispanic Asian,US Citizen,,9th-11th,English,3,0,0,2,"$ 20,000 - 34,999",1.49
88567,Female,11,Mexican American,US Citizen,Primary School,,English,5,0,3,0,"$ 20,000 - 34,999",1.05
88568,Female,23,Mexican American,US Citizen,,Less than 9th Grade,English,7,0,3,0,"$ 20,000 - 34,999",0.61
88569,Female,11,Non-Hispanic White,US Citizen,Primary School,,English,5,1,2,0,"$ 35,000 - 54,999",1.69
88570,Female,29,Non-Hispanic White,US Citizen,,College/AA degree,English,3,0,0,1,"$ 100,000 +",5
88571,Female,1,Mexican American,US Citizen,,,English,2,1,0,0,"$ 0 - 9,999",0.62
88572,Female,34,Other Hispanic,US Citizen,,High School,English,5,1,1,0,"$ 55,000 - 74,999",2.11
88573,Male,8,Non-Hispanic Asian,Not a US Citizen,Primary School,,English,4,0,2,0,"$ 20,000 - 34,999",0.91
88574,Male,29,Non-Hispanic White,US Citizen,,College Grad and above,English,1,0,0,0,"$ 100,000 +",5
88575,Male,48,Non-Hispanic White,US Citizen,,College/AA degree,English,5,0,2,0,"$ 100,000 +",5
88576,Male,33,Non-Hispanic Black,US Citizen,,College/AA degree,English,4,1,1,0,"$ 55,000 - 74,999",2.57
88577,Male,10,Non-Hispanic Asian,US Citizen,Primary School,,English,4,0,2,0,"$ 20,000 - 34,999",0.93
88578,Female,33,Mexican American,Refused,,College Grad and above,Spanish,4,1,1,0,Don't Know,
88579,Female,1,Non-Hispanic White,US Citizen,,,English,3,1,0,0,"$ 35,000 - 54,999",1.79
88580,Female,27,Other Hispanic,Not a US Citizen,,College/AA degree,English,4,1,0,0,"$ 20,000 - 34,999",0.85
88581,Male,13,Mexican American,US Citizen,Middle School,,Spanish,6,1,2,0,Don't Know,
88582,Male,19,Non-Hispanic Black,US Citizen,High School,,English,3,0,0,1,"$ 35,000 - 54,999",1.98
88583,Female,31,Non-Hispanic Black,US Citizen,,College/AA degree,English,5,0,3,0,"$ 35,000 - 54,999",1.67
88584,Male,57,Non-Hispanic Black,US Citizen,,High School,English,3,0,0,0,"$ 10,000 - 19,999",0.6
88585,Male,48,Other Hispanic,Not a US Citizen,,9th-11th,Spanish,5,2,1,0,"$ 10,000 - 19,999",0.63
88586,Female,11,Mexican American,US Citizen,Primary School,,Spanish,7,1,3,0,"$ 20,000 - 34,999",
88587,Male,15,Other Hispanic,US Citizen,Middle School,,English,4,0,1,0,"$ 10,000 - 19,999",0.52
88588,Female,50,Mexican American,Not a US Citizen,,High School,Spanish,4,0,1,0,"$ 0 - 9,999",0.02
88589,Female,37,Non-Hispanic Black,US Citizen,,College/AA degree,English,4,0,2,0,"$ 75,000 - 99,999",3.09
88590,Male,45,Other Hispanic,Not a US Citizen,,Less than 9th Grade,Spanish,3,0,0,1,"$ 35,000 - 54,999",1.26
88591,Female,38,Mexican American,US Citizen,,College/AA degree,English,5,0,4,0,"$ 35,000 - 54,999",1.65
88592,Male,41,Other Race,US Citizen,,College Grad and above,English,3,1,0,0,"$ 100,000 +",5
88593,Female,73,Non-Hispanic White,US Citizen,,College/AA degree,English,1,0,0,1,"$ 55,000 - 74,999",5
88594,Male,1,Non-Hispanic White,US Citizen,,,English,4,1,1,0,"$ 100,000 +",5
88595,Female,2,Non-Hispanic Black,US Citizen,,,English,6,2,2,0,"$ 35,000 - 54,999",1.51
88596,Female,15,Non-Hispanic White,US Citizen,High School,,English,5,0,1,0,"$ 100,000 +",5
88597,Female,0,Other Hispanic,US Citizen,,,Spanish,5,2,1,0,"$ 20,000 - 34,999",1.06
88598,Male,75,Non-Hispanic White,US Citizen,,College/AA degree,English,1,0,0,1,"$ 10,000 - 19,999",1.43
88599,Male,80,Non-Hispanic White,US Citizen,,College/AA degree,English,1,0,0,1,"$ 10,000 - 19,999",1.02
88600,Male,59,Non-Hispanic Asian,US Citizen,,College/AA degree,English,7,2,1,0,"$ 0 - 9,999",5.40E-79
88601,Female,24,Mexican American,US Citizen,,High School,English,6,1,2,0,"$ 10,000 - 19,999",0.6
88602,Male,23,Non-Hispanic Asian,Not a US Citizen,,College/AA degree,English,5,0,1,0,"$ 55,000 - 74,999",2.97
88603,Female,1,Mexican American,US Citizen,,,English,5,1,2,0,"$ 100,000 +",3.52
